Id;Label;NumTransactions;Type;Latitude;Longitude
151;Glasgow;9;Location;55.8609825;-4.2488787
152;Mission;11;Location;26.2159066;-98.3252932
153;Adrian;1;Location;41.8975152;-84.0373054
154;Prague;16;Location;50.0874654;14.4212535
155;Dracut;1;Location;42.6818928;-71.2963726
156;Mon;20;Location;54.1936805;-4.5591148
157;Chicago;36;Location;41.8755616;-87.6244212
158;Brentwood;5;Location;37.9317766;-121.6960266
159;Date;137;Location;42.4717601;140.8646839
160;Saco;2;Location;42.9880406;0.5631324
161;Wildwood;1;Location;38.5806948;-90.6314374
162;Frisco;1;Location;33.1506744;-96.8236116
163;Plano;2;Location;33.0136764;-96.6925096
164;Brigham City;1;Location;41.5103717;-112.0155619
165;Ganja;1;Location;40.6798083;46.3597178
166;Linda;8;Location;44.8371855;0.7387986
167;Lucas;9;Location;41.0147422;-93.3427643
168;Iowa;9;Location;41.9216734;-93.3122705
169;Nashville;31;Location;36.1622296;-86.7743531
170;Kirkland;4;Location;47.6859573;-122.1920249
171;Michigan;17;Location;43.6211955;-84.6824346
172;Australia;2;Location;-24.7761086;134.755
173;Tanda;4;Location;28.98100145;78.97480687399917
174;Napa;8;Location;38.2971367;-122.2855293
175;Richmond;2;Location;37.5385087;-77.43428
176;Baja;5;Location;-12.285251;-41.9294776
177;Bangkok;3;Location;13.7544238;100.4930399
178;Santa Cruz;3;Location;28.469648;-16.2540884
179;Rugby;8;Location;52.3726682;-1.2620038
180;San;6;Location;36.638392;127.6961188
181;Eureka;5;Location;40.8020712;-124.1636729
182;Switzerland;3;Location;46.7985624;8.2319736
183;Vancouver;2;Location;49.2608724;-123.1139529
184;Venice;19;Location;45.4371908;12.3345898
185;Jefferson;3;Location;29.834772;-94.1704496
186;Split;25;Location;43.5116383;16.4399659
187;Amsterdam;20;Location;52.3727598;4.8936041
188;Haiti;1;Location;19.1399952;-72.3570972
189;Ibiza;4;Location;38.974390099999994;1.4197463178515335
190;Charlotte;10;Location;35.2272086;-80.8430827
191;Ron;10;Location;45.8802348;4.564533629559522
192;Pop;110;Location;19.75754625;-70.56892494780459
193;Marina;6;Location;43.5139149;16.1092196
194;Newcastle;1;Location;54.9738474;-1.6131572
195;Shelby;6;Location;31.7716364;-94.1301652
196;Nikki;10;Location;9.98537345;3.253330776324945
197;Harrison;5;Location;32.5233959;-94.3982158
198;Bogo;6;Location;11.0530536;124.0110354
199;Denver;27;Location;39.7392364;-104.9848623
200;Central;1;Location;-0.5107599;36.8452516
201;Dome;1;Location;43.3153154;5.4044232
202;Cambodia;5;Location;13.5066394;104.869423
203;Wilmington;1;Location;39.7459468;-75.546589
204;Scranton;2;Location;41.4086874;-75.6621294
205;Saki;2;Location;45.1319466;33.6001281
206;Wayne;3;Location;38.4251958;-88.4197678
207;Everett;2;Location;47.9673056;-122.2013998
208;Sig;25;Location;50.7865007;7.6681686
209;Texas;23;Location;31.8160381;-99.5120986
210;Metro;6;Location;48.9117629;2.2139698308123266
211;Rome;7;Location;41.8933203;12.4829321
212;Germany;5;Location;51.0834196;10.4234469
213;Marseille;1;Location;43.2961743;5.3699525
214;Sofia;2;Location;-15.2538402;48.2562163
215;Princeton;8;Location;40.3492744;-74.6592958
216;Ara;1;Location;6.6666755;-71.0000086
217;Savage;4;Location;44.7779041;-93.3356204
218;Italy;6;Location;42.6384261;12.674297
219;Noto;2;Location;36.8908864;15.0706454
220;Colorado;7;Location;38.7251776;-105.6077167
221;Nola;28;Location;40.9210826;14.5327402
222;Wheaton;2;Location;41.8646959;-88.1101709
223;Seattle;9;Location;47.6038321;-122.3300624
224;Mobile;12;Location;30.6943566;-88.0430541
225;Lynn;1;Location;33.1474257;-101.812592
226;Elizabeth;4;Location;40.6639916;-74.2107006
227;Aloha;4;Location;45.5263998;-84.4666997
228;Boom;11;Location;51.0873789;4.3667216
229;Marion;3;Location;32.7931661;-94.344488
230;Luau;15;Location;-10.7025518;22.2275381
231;Cupertino;1;Location;37.3228934;-122.0322895
232;Alma;2;Location;-23.0227714;-67.7530723
233;George;19;Location;-33.964444;22.459722
234;Bryan;3;Location;30.6743643;-96.3699632
235;Brits;1;Location;-25.6297222;27.7841667
236;Gary;1;Location;41.6021292;-87.3371372
237;Montgomery;1;Location;32.3669656;-86.3006485
238;Cali;22;Location;3.4517923;-76.5324943
239;Gay;24;Location;51.471443;58.440517
240;Lowell;1;Location;42.6334247;-71.3161718
241;Portland;2;Location;45.5202471;-122.6741949
242;Ontario;1;Location;50.000678;-86.000977
243;Ithaca;4;Location;42.4396039;-76.4968019
244;Plum;2;Location;40.5003457;-79.7494911
245;Budapest;10;Location;47.48138955;19.14607278448202
246;Stratford;1;Location;52.1927885;-1.7063668
247;Marugame;1;Location;34.2888128;133.7982421
248;Turkey;17;Location;38.9597594;34.9249653
249;Obama;2;Location;35.4938281;135.7446614
250;Berber;1;Location;18.384202950000002;33.751416496703186
251;Most;10;Location;50.5032737;13.636112
252;Santos;1;Location;-23.960833;-46.333889
253;Palm Springs;4;Location;33.772179449999996;-116.49529769785079
254;Pace;2;Location;48.4454551;-0.0039061
255;El Paso;2;Location;31.7754152;-106.464634
256;Salt;9;Location;41.9741672;2.7949886
257;Gera;1;Location;50.8772301;12.0796208
258;Dolores;15;Location;37.7524811;-108.4596087
259;Barry;6;Location;43.1463184;0.0211297
260;Ono;2;Location;34.861365;134.9547785
261;Carolina;2;Location;35.90503535;-79.04775326525107
262;Sale;7;Location;44.980656;8.809348
263;Cabo;22;Location;-8.2838945;-35.0320984
264;Mascara;4;Location;35.397838500000006;0.24301949927219488
265;Madrid;3;Location;40.4167047;-3.7035825
266;Albany;2;Location;42.6511674;-73.754968
267;Kenya;6;Location;1.4419683;38.4313975
268;Dudley;3;Location;52.5110832;-2.0816813
269;Naples;7;Location;40.8359336;14.2487826
270;Lopez;1;Location;-0.6211136;8.7103763
271;Coachella;17;Location;33.68656595;-116.15327749528778
272;Atlantic City;3;Location;39.3642852;-74.4229351
273;Tulsa;1;Location;36.1556805;-95.9929113
274;Golden;14;Location;39.743310699999995;-105.21250036061394
275;Dallas;13;Location;32.7762719;-96.7968559
276;Zanzibar;1;Location;-6.09994425;39.32094431715264
277;Spain;2;Location;39.3262345;-4.8380649
278;Edinburgh;1;Location;55.9533456;-3.1883749
279;Lagos;3;Location;6.4550575;3.3941795
280;Stockholm;2;Location;59.3251172;18.0710935
281;Worms;3;Location;49.6302618;8.3620898
282;Eugene;3;Location;44.0505054;-123.0950506
283;Pompei;6;Location;40.7491267;14.5006415
284;Florence;9;Location;43.7698712;11.2555757
285;Grand Rapids;1;Location;42.9632405;-85.6678639
286;Vietnam;16;Location;13.2904027;108.4265113
287;Walker;3;Location;30.6795741;-95.5522823
288;Burke;1;Location;48.7882181;-102.5295867
289;Dara;1;Location;37.1784985;40.9429359032699
290;Glendale;1;Location;34.1469416;-118.2478471
291;Carol;2;Location;42.4883264;1.8560241
292;Ogden;1;Location;41.2230048;-111.9738429
293;Monrovia;1;Location;6.328034;-10.797788
294;Sake;12;Location;-2.2327477;30.417865
295;Keystone;3;Location;42.0008582;-92.1985206
296;Rohnert Park;1;Location;38.3396367;-122.7010984
297;Kaya;2;Location;19.2812505;97.3291806
298;Ada;2;Location;38.8398935;-83.5051704
299;Slovakia;1;Location;48.7411522;19.4528646
300;Athens;11;Location;37.9839412;23.7283052
301;San Bruno;4;Location;37.6261715;-122.4332435
302;Japan;4;Location;36.5748441;139.2394179
303;Holland;1;Location;52.5001698;5.7480821
304;Rogers;1;Location;36.3320197;-94.1185366
305;Bo;13;Location;-17.0568696;-64.9912286
306;Manhattan;2;Location;40.7896239;-73.9598939
307;Griffin;3;Location;33.2467807;-84.2640904
308;Duncan;3;Location;34.5023029;-97.9578129
309;Tracy;2;Location;37.7396513;-121.4252227
310;Rodriguez;2;Location;-34.3806737;-56.539069
311;Chad;6;Location;15.6134137;19.0156172
312;Eden;2;Location;36.4884715;-79.7667026
313;Bam;8;Location;34.75;67.25
314;Ventura;1;Location;34.4458248;-119.0779359
315;Sanford;2;Location;35.4798757;-79.1802994
316;Baar;2;Location;47.997159;8.5629415
317;Roses;13;Location;42.2632018;3.1755328
318;Soba;1;Location;-4.3515071;139.1804897
319;Lahore;4;Location;31.5656822;74.3141829
320;Pomona;1;Location;34.0553813;-117.7517496
321;Dijon;1;Location;47.3215806;5.0414701
322;Tamale;3;Location;9.4051992;-0.8423986
323;Hamilton;5;Location;43.2560802;-79.8728583
324;Hailin;1;Location;44.5646841;129.3804078
325;Asahi;4;Location;35.7204126;140.6464527
326;Borger;3;Location;35.6678204;-101.3973876
327;Kansas;1;Location;38.27312;-98.5821872
328;Mundelein;1;Location;42.263079;-88.0039653
329;Maia;1;Location;41.237345649999995;-8.629998173364326
330;Bra;10;Location;44.6976778;7.8542707
331;Sweden;4;Location;59.6749712;14.5208584
332;Brussels;11;Location;50.8436709;4.3674366933879565
333;Munich;8;Location;48.1371079;11.5753822
334;Millbrae;1;Location;37.598958;-122.4009419
335;Temecula;1;Location;33.4946353;-117.1473661
336;San Jose;2;Location;37.3361905;-121.890583
337;Bordeaux;1;Location;44.841225;-0.5800364
338;Fremont;1;Location;37.5482697;-121.9885719
339;Luxembourg;1;Location;49.8158683;6.1296751
340;Darlington;1;Location;54.5242081;-1.5555812
341;Saratoga;3;Location;37.2638324;-122.0230146
342;Salem;1;Location;44.9391565;-123.033121
343;Abiko;2;Location;35.863999;140.0280653
344;Orleans;3;Location;47.9027336;1.9086066
345;Vineyard;27;Location;38.4671207;-121.33475396978551
346;Reunion;16;Location;-21.130737949999997;55.536480112992315
347;Edgewood;1;Location;42.6449174;-91.4007896
348;Suffolk;1;Location;52.241001350000005;1.0466830312565236
349;Basel;9;Location;47.5581077;7.5878261
350;Waterloo;2;Location;42.4979693;-92.3329637
351;Kobe;5;Location;34.6932379;135.1943764
352;Delaware;10;Location;38.6920451;-75.4013315
353;Ponca;5;Location;42.5624971;-96.7055918
354;Delta;36;Location;33.3926893;-95.6749486
355;Same;14;Location;-4.2198086;37.98901038917198
356;Ensley;1;Location;30.526511499999998;-87.27748541354373
357;Garland;3;Location;32.912624;-96.6388833
358;Costa Rica;8;Location;10.2735633;-84.0739102
359;Tripoli;1;Location;32.896672;13.1777923
360;Brooklyn;5;Location;40.6501024;-73.9495829
361;Woodstock;2;Location;42.0410578;-74.1182492
362;Born;6;Location;43.8841735;1.544985
363;Nelson;4;Location;-41.2710849;173.2836756
364;Mary;17;Location;37.1302916;62.4019513
365;Ariel;2;Location;32.1060817;35.1851368
366;Chillum;1;Location;38.9637218;-76.9908093
367;Badger;10;Location;42.6144147;-94.14607
368;Seaside;2;Location;36.62593;-121.8169383456945
369;Oyama;7;Location;36.3147373;139.800148
370;JOs;1;Location;9.9175125;8.8979401
371;Stuart;3;Location;27.197983;-80.2519175
372;Sutton;2;Location;30.5672947;-100.6432359
373;Madison;11;Location;43.074761;-89.3837613
374;Como;2;Location;45.939475900000005;9.149410145408947
375;Logan;13;Location;40.1075089;-89.3768539
376;Graham;3;Location;39.34062;-99.8980624
377;Fiji;17;Location;-18.1239696;179.0122737
378;Mariana;3;Location;-20.3781468;-43.4174862
379;March;7;Location;48.0578573;7.7790038
380;Burbank;1;Location;34.1816482;-118.3258554
381;Sakura;2;Location;35.7234619;140.2240158
382;Bimbo;1;Location;4.3325548;18.5250512
383;Florida;13;Location;27.7567667;-81.4639835
384;Mula;6;Location;41.580472;-1.1161953
385;La Jolla;1;Location;32.83259;-117.2716839
386;Huy;1;Location;50.5180856;5.2408138
387;Las Vegas;3;Location;36.1672559;-115.1485163
388;Crystal;2;Location;45.031823;-93.3606072
389;Butte;1;Location;39.6519275;-121.5858444
390;Nan;2;Location;46.3144754;11.0480288
391;Brighton;7;Location;50.8214626;-0.1400561
392;Bend;3;Location;44.0581728;-121.3153096
393;Mikuni;1;Location;62.358238;50.08218
394;Arnold;3;Location;38.4226711;-90.3758287
395;Syracuse;3;Location;43.0481221;-76.1474244
396;Paisley;3;Location;55.8455828;-4.4239646
397;Wil;1;Location;41.5018224;-84.5923785
398;Terrace;1;Location;54.5172715;-128.5995482
399;Georgia;15;Location;32.3293809;-83.1137366
400;Doba;2;Location;47.1659729;17.3798491
401;Rock Hill;1;Location;34.9248667;-81.0250784
402;South Africa;7;Location;-28.8166236;24.991639
403;Chelsea;3;Location;51.4875417;-0.1682205
404;Franklin;4;Location;33.16011905;-95.21652077002003
405;Holiday;7;Location;28.187755;-82.74160807073932
406;Hayes;3;Location;49.1672142;6.366144
407;Munster;3;Location;52.307621600000004;-8.570897276292667
408;Douglas;1;Location;39.7628415;-88.2170516
409;Bowie;4;Location;33.4198886;-94.4479626
410;Warwick;1;Location;52.2814519;-1.5815742
411;Surco;3;Location;-12.1278182;-76.9863774
412;Humble;8;Location;29.9988312;-95.2621553
413;Talladega;2;Location;33.3967079;-86.1597137
414;Windsor;2;Location;51.48379805;-0.6041397427111339
415;Daly;3;Location;-12.7434975;131.2477168762096
416;Johnson;4;Location;32.3766071;-97.3568623
417;Ramada;1;Location;27.622145;-105.7298978
418;Uva;2;Location;52.3685848;4.8902006
419;New Orleans;3;Location;29.9499323;-90.0701156
420;Of;4;Location;40.881735899999995;40.27544376928809
421;Trujillo;2;Location;9.5721534;-70.5363079
422;Hopa;1;Location;41.39098;41.418046
423;Irvine;1;Location;33.6856969;-117.8259819
424;Anderson;3;Location;31.7819242;-95.6258199
425;Hilliard;1;Location;40.033814;-83.1596108
426;Sunset;3;Location;25.7040213;-80.35225366277555
427;Troy;2;Location;39.957373950000004;26.238017461011644
428;Roman;5;Location;48.836297599999995;1.047626206618487
429;Jamaica;3;Location;18.1850507;-77.3947693
430;Bay;7;Location;47.2885;5.71839
431;Howard;4;Location;32.3047833;-101.4271085
432;Pita;11;Location;35.892353;14.4934881
433;Pooler;1;Location;32.1158983;-81.2495131
434;Ami;2;Location;50.5497761;5.3240992
435;Odessa;2;Location;46.4873195;30.7392776
436;Detroit;3;Location;42.3315509;-83.0466403
437;Suwanee;1;Location;34.0514898;-84.0712997
438;San Miguel;1;Location;37.96345975;-108.41184816085345
439;Brandon;8;Location;46.35270835;4.577608667704116
440;Hays;1;Location;30.0447901;-98.0393127
441;Cairo;1;Location;30.0443879;31.2357257
442;Dublin;2;Location;53.3497645;-6.2602732
443;Maryland;1;Location;39.5162234;-76.9382069
444;Martin;4;Location;32.2675039;-101.9190317
445;Patterson;1;Location;41.3483245;-93.8805023
446;Flores;2;Location;-33.583333;-56.833333
447;Ames;1;Location;50.536715;2.4086536
448;Kula;3;Location;38.55845045;28.622581514007788
449;Cedar Rapids;1;Location;41.9758872;-91.6704053
450;Cusco;1;Location;-13.5170887;-71.9785356
451;Eilat;7;Location;29.5569348;34.9497949
452;Berlin;3;Location;52.5170365;13.3888599
453;Bern;1;Location;46.9482713;7.4514512
454;Palmer;6;Location;61.5995703;-149.1110902
455;Stamford;1;Location;41.072089;-73.54443614832871
456;Moss;1;Location;59.414667449999996;10.659657776223916
457;Oxnard;1;Location;34.1976308;-119.1803818
458;Sherman;4;Location;36.2452294;-101.8858689
459;Shu;4;Location;24.98956575;121.54690574531074
460;Peru;4;Location;-6.8699697;-75.0458515
461;Redding;1;Location;40.5863563;-122.3916754
462;Reading;4;Location;51.456659;-0.9696512
463;Moa;2;Location;20.6559593;-74.9430494
464;Vera;2;Location;37.2475942;-1.8681961
465;Porto;9;Location;41.1494512;-8.6107884
466;Bath;4;Location;51.3813864;-2.3596963
467;Paradise;5;Location;36.1150858;-115.1734142
468;Eagan;1;Location;44.818173;-93.1659179
469;Montana;1;Location;47.3752671;-109.6387579
470;Huntington;1;Location;38.4192496;-82.445154
471;Newport;3;Location;41.4899827;-71.3137707
472;Alabaster;1;Location;33.2442813;-86.8163773
473;Claremont;1;Location;34.0966764;-117.7197785
474;Petaluma;1;Location;38.2325829;-122.636465
475;Papaya;1;Location;13.6351853;120.8917951
476;Federal;1;Location;-51.5967428;-72.2215124597009
477;Tokyo;5;Location;35.6828387;139.7594549
478;WARren;2;Location;40.8442828;-90.6168408
479;Springs;1;Location;41.021636;-72.15937198654441
480;Trenton;1;Location;40.2170575;-74.7429463
481;Bakersfield;1;Location;35.3738712;-119.0194639
482;Olivet;3;Location;47.8650984;1.9015752
483;Zion;4;Location;42.4461322;-87.8328505
484;Santa Fe;2;Location;-30.3154739;-61.1645076
485;Palo Alto;2;Location;37.4443293;-122.1598465
486;Tampa;1;Location;27.9477595;-82.458444
487;Kansas City;1;Location;39.100105;-94.5781416
488;Mustang;1;Location;35.384227;-97.7244813
489;India;3;Location;22.3511148;78.6677428
490;Tivoli;1;Location;41.960922;12.798884
491;Simpang;5;Location;-6.6837633;107.5376996
492;Oral;2;Location;65.0331721;60.115404
493;Savannah;4;Location;32.0809263;-81.0911768
494;Pembroke;2;Location;45.8260909;-77.113541
495;Galveston;3;Location;29.299328;-94.7945882
496;Alicia;2;Location;39.1026705;-121.5816313
497;Medford;1;Location;42.4184296;-71.1061639
498;Tapes;1;Location;-30.6747721;-51.3986199
499;Bedford;3;Location;52.1363806;-0.4675041
500;Melgar;1;Location;4.1841312;-74.63789503015164
501;Blackwood;1;Location;39.799232;-75.06416988211788
502;Bentley;2;Location;52.4685411;-114.04327724999999
503;Bell;5;Location;31.0081659;-97.4314413
504;Omaha;3;Location;41.2587459;-95.9383758
505;Yola;1;Location;9.2089255;12.4802485
506;New Amsterdam;1;Location;6.2426407;-57.5168359
507;Copenhagen;2;Location;55.6867243;12.5700724
508;Normal;1;Location;40.5117699;-88.9944815
509;Westminster;1;Location;51.5004439;-0.1265398
510;Buckeye;1;Location;33.3703197;-112.5837766
511;Leavenworth;3;Location;39.3113257;-94.922759
512;Oakland;3;Location;37.8044557;-122.2713563
513;Gela;1;Location;37.0664363;14.2502445
514;Brixton;2;Location;51.4568044;-0.1167959
515;Little Rock;1;Location;34.7464809;-92.2895948
516;Berkeley;3;Location;37.8708393;-122.2728639
517;Beacon;1;Location;41.504879;-73.9696822
518;Turbo;1;Location;8.0950848;-76.728545
519;Dali;2;Location;13.922542;44.768269
520;Batman;3;Location;37.7874104;41.2573924
521;Orem;1;Location;40.2971825;-111.694943
522;Lakewood;1;Location;39.7085736;-105.0846694
523;Pen;7;Location;18.6973659;73.13672046831282
524;Bologna;3;Location;44.4937577;11.3430308
525;Wright;2;Location;45.1489061;-93.9639196
526;Wyoming;1;Location;43.1700264;-107.5685348
527;Hoboken;1;Location;40.7433066;-74.0323752
528;College Station;2;Location;30.5955289;-96.3071042
529;Lattes;3;Location;43.5653993;3.9017114
530;Barbacha;1;Location;36.5734726;4.9693825
531;Norton;1;Location;39.7944702;-99.9100033
532;Honolulu;1;Location;21.304547;-157.8556764
533;Sri Lanka;1;Location;7.5554942;80.7137847
534;Lancaster;1;Location;40.03813;-76.3056686
535;Brody;5;Location;50.0833041;25.1437921
536;Alexandria;3;Location;31.199004;29.894378
537;Coney Island;1;Location;40.57592745;-73.99219674341339
538;Summit;5;Location;39.6070951;-106.0636654
539;Boda;1;Location;46.0808583;18.0478346
540;Soma;4;Location;39.21086445;27.63408226370003
541;Santa Barbara;1;Location;34.4221319;-119.7026673
542;Cocoa;3;Location;28.3820058;-80.7796261877344
543;Bayside;2;Location;40.7684351;-73.7770774
544;Hong Kong;1;Location;22.2793278;114.1628131
545;Lodi;1;Location;45.2613104;9.491678060021837
546;Essex;1;Location;51.77046785;0.46466977412300386
547;Roswell;1;Location;34.02332;-84.360022
548;Bristol;1;Location;51.4538022;-2.5972985
549;Westbrook;1;Location;32.3582062;-101.0128064
